8,0,0,0,6,0,2,10,4
6,0,0,0,6,0,0,8,2
8,2,0,2,6,0,0,6,2
10,0,0,0,8,0,0,6,4
2,0,0,0,6,0,0,4,2
0,0,0,2,2,0,0,4,2
2,0,0,0,4,0,0,8,2
2,0,0,0,0,0,0,4,2
0,0,0,0,4,0,0,4,0
0,0,0,0,6,0,0,4,0
0,0,0,0,4,0,2,4,0
0,0,0,0,7,0,0,4,0
4,0,0,0,2,0,0,8,0
2,2,0,0,2,0,0,4,0
4,6,2,0,10,0,0,6,4
10,4,2,0,2,0,0,4,6
0,4,0,0,2,0,2,6,0
0,2,2,0,5,0,4,4,0
0,0,0,0,5,0,4,0,0
2,0,0,0,3,0,4,2,0
4,2,2,0,8,0,4,4,0
12,5,4,0,10,0,0,4,2
2,0,0,0,2,0,2,6,0
4,0,0,2,4,0,0,4,0
2,4,2,0,6,0,0,4,0
0,2,0,0,6,0,0,0,0
4,4,0,0,8,0,0,8,6
4,0,0,0,8,0,0,6,4
10,0,0,0,10,0,0,4,0
6,0,0,0,6,0,0,8,2
0,0,0,0,0,0,0,4,2
0,0,0,0,4,0,0,4,0
2,6,2,0,2,0,0,7,0
4,0,0,0,2,0,0,2,2
0,0,0,0,0,0,2,8,0
0,0,0,0,0,0,0,6,0
0,0,0,0,0,0,0,12,0
0,2,0,0,2,0,2,10,0
0,0,0,0,4,0,2,4,0
0,0,0,0,2,0,0,8,0
4,0,2,0,6,0,0,6,2
4,2,0,0,2,0,0,6,2
4,0,0,0,0,0,0,4,0
0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,2,0
0,0,0,0,4,0,2,2,0
0,0,0,0,8,0,0,4,2
6,0,2,0,6,0,0,2,0
0,0,0,0,8,2,0,6,2
0,0,0,0,6,0,0,4,0
4,4,0,0,4,0,6,6,6
4,4,0,0,2,0,4,8,4
0,0,0,0,0,0,11,2,0
2,0,0,0,2,0,4,0,2
2,2,0,2,2,2,0,0,4
4,0,0,0,2,0,0,0,0
2,0,2,0,4,0,2,2,0
0,0,0,0,4,0,2,2,0
0,0,0,2,2,0,4,6,0
2,0,0,0,3,0,2,8,0
0,0,0,0,4,0,4,2,0
0,0,0,0,2,0,5,2,0
0,0,0,0,6,0,0,8,0
0,0,0,0,2,0,0,4,0
2,0,0,0,2,0,0,2,0
0,0,0,0,2,0,0,2,0
8,0,2,0,0,0,12,4,0
2,0,0,0,0,0,2,6,0
0,4,4,0,2,0,0,4,4
2,0,0,0,2,0,0,4,0
4,0,0,0,10,0,10,0,0
6,0,0,0,6,0,4,2,0
8,0,2,0,10,0,0,2,2
2,0,4,0,2,0,0,2,2
8,4,0,0,2,0,0,6,6
8,6,2,0,4,0,0,6,4
4,8,2,0,2,0,4,8,0
2,0,0,0,4,0,4,2,4
6,0,0,0,3,0,0,2,4
2,0,0,0,2,0,4,4,2
2,6,0,0,3,0,2,6,2
4,0,0,0,6,0,0,8,0
4,8,2,0,3,0,4,8,0
4,0,2,2,16,0,2,2,0
2,2,0,0,9,0,0,14,2
2,0,10,2,12,2,0,10,4
0,0,0,0,2,0,0,6,0
4,0,0,0,2,0,0,5,0
4,0,0,2,6,0,4,4,0
2,0,0,0,2,0,2,0,0
2,2,0,0,2,0,0,2,4
2,2,0,4,2,0,4,2,2
0,0,0,0,4,0,2,2,0
2,0,0,0,0,0,2,2,0
4,0,2,0,0,0,0,6,0
0,0,0,0,2,0,0,4,4
4,0,0,0,2,0,0,4,4
2,0,0,0,2,0,0,8,6
0,0,0,0,4,0,5,2,0
0,0,0,0,2,0,2,2,0
4,0,0,0,4,0,0,6,2
4,0,0,0,8,0,0,5,0
4,2,0,0,6,0,0,2,2
4,0,0,0,12,0,0,8,0
10,0,0,0,5,0,2,10,4
10,6,4,0,6,0,4,12,2
4,2,0,0,6,0,2,10,4
4,2,0,0,4,0,0,8,6
4,2,0,0,8,0,0,4,0
2,2,2,2,0,0,0,6,0
6,0,0,0,4,0,2,4,0
2,0,0,0,0,0,0,4,0
0,0,0,0,4,2,2,2,0
0,0,0,0,0,0,2,6,0
8,0,0,0,8,0,2,3,2
0,0,0,0,0,0,0,2,0
0,2,0,0,8,0,12,4,0
2,0,0,0,2,0,6,8,0
4,2,0,0,6,0,2,6,0
2,0,0,0,4,0,0,6,0
8,2,0,0,4,0,0,6,2
8,0,0,0,0,0,0,6,0
0,0,0,0,2,0,0,4,0
0,0,0,0,4,0,0,6,0
0,2,0,0,8,0,2,4,0
2,0,0,0,0,0,0,4,0
12,0,0,0,10,0,0,6,4
6,0,0,0,2,0,0,2,2
10,4,0,0,4,2,0,4,2
8,0,0,0,2,0,4,4,4
2,2,0,0,4,2,0,6,0
2,0,0,2,2,2,2,8,0
0,0,0,0,1,0,0,2,0
0,0,0,0,3,0,0,0,0
0,0,0,0,6,0,2,4,0
2,0,0,0,4,0,0,6,0
8,0,2,2,10,2,4,6,2
6,0,4,0,6,0,0,6,2
0,2,0,0,8,4,0,4,2
2,0,0,0,8,4,0,2,0
2,0,0,0,6,0,0,6,0
6,0,0,0,4,0,6,4,2
2,0,0,0,6,0,0,6,0
2,2,0,0,2,0,2,4,4
2,4,0,0,2,0,2,6,0
2,0,0,0,2,0,2,6,0
10,6,2,0,4,0,0,4,4
6,6,4,2,2,0,0,4,6
0,2,0,0,6,0,0,4,2
6,4,0,0,4,0,0,8,2
12,4,2,0,2,0,2,8,2
8,2,0,2,2,0,0,8,2
2,4,0,0,4,0,0,4,2
6,4,2,6,2,0,0,8,0
2,2,2,0,4,0,0,8,0
2,2,0,0,4,0,2,4,2
0,4,0,0,4,0,0,9,0
0,0,0,0,6,0,0,4,0
0,0,0,0,2,0,0,0,0
0,0,0,0,8,0,0,0,0
2,6,6,0,2,0,0,2,4
8,2,0,2,6,0,4,2,4
0,0,0,0,4,0,0,0,0
0,0,0,0,4,0,0,0,0
0,0,0,0,0,0,0,6,0
0,0,0,0,0,0,0,4,0
0,0,0,0,0,0,0,4,0
4,2,2,0,12,0,6,1,4
0,0,0,0,10,0,6,2,0
0,0,0,0,2,2,8,0,2
0,0,0,0,2,0,6,6,2
4,0,0,0,4,0,0,6,0
6,0,2,0,8,0,0,8,0
0,0,0,0,4,0,0,10,0
0,0,0,0,2,0,0,8,0
4,0,4,0,6,0,0,4,4
2,0,0,0,4,0,0,2,0
0,0,2,0,0,0,0,4,0
2,2,2,2,2,0,0,6,0
0,0,0,0,0,0,0,4,0
0,0,0,0,2,0,0,0,0
2,0,0,0,6,0,2,4,2
2,0,0,0,6,0,2,2,0
2,2,2,0,2,0,4,2,2
2,0,0,0,0,0,0,2,0
4,0,0,0,2,0,0,4,4
4,0,0,0,2,0,2,6,0
0,0,0,0,0,2,0,2,0
0,0,0,0,0,0,0,4,0
2,0,0,0,10,0,4,12,2
2,0,2,0,14,0,4,6,0
8,4,10,2,8,0,0,6,4
10,4,6,0,10,0,0,4,0
6,2,0,2,8,0,0,6,2
2,2,0,0,7,0,0,6,2
0,0,0,0,9,0,0,4,0
0,0,2,0,8,0,2,4,0
4,0,0,0,2,0,0,10,0
2,0,0,0,8,0,0,8,0
2,0,0,0,2,0,0,4,0
0,0,0,0,5,0,0,4,0
0,0,0,0,2,0,0,6,0
0,0,0,0,2,0,4,6,0
0,2,2,0,2,0,2,6,2
0,2,0,0,2,0,2,6,2
6,0,0,0,2,0,2,8,4
6,2,0,0,6,0,0,8,0
0,6,0,0,2,0,0,4,0
0,2,0,0,0,2,4,1,0
0,0,0,0,0,0,0,4,0
2,0,0,0,6,0,0,4,2
2,4,2,0,5,0,4,2,6
2,0,0,0,6,0,0,4,0
0,0,0,0,6,0,0,2,0
0,0,0,0,8,0,0,6,0
4,2,0,0,2,2,0,4,2
5,0,0,0,2,2,0,4,4
4,2,0,0,6,0,0,6,4
6,0,0,0,2,0,0,4,0
6,2,0,0,4,0,6,4,6
2,2,2,2,6,0,6,4,2
2,2,0,0,2,0,4,2,2
4,0,0,0,6,0,4,2,2
12,0,2,0,4,2,0,8,2
8,4,2,0,4,2,0,10,2
0,0,0,0,6,0,0,2,0
2,0,0,0,14,0,0,2,0
6,2,8,2,3,10,0,2,2
0,0,0,0,1,0,0,6,0
2,0,0,0,6,4,0,6,0
4,0,0,0,0,4,0,6,0
4,2,0,0,4,0,6,4,0
0,0,0,0,4,0,0,8,0
0,0,0,0,4,0,0,8,0
4,0,0,0,4,0,2,6,0
8,0,0,0,2,0,2,2,0
4,2,2,0,0,0,0,4,0
0,2,0,0,4,0,2,2,2
0,0,0,0,0,0,0,4,0
0,0,0,0,0,0,4,6,0
0,0,0,0,0,0,0,4,0
4,0,0,0,2,0,0,2,0
2,2,0,0,0,2,2,2,0
0,0,0,0,2,0,0,0,0
4,0,0,0,2,0,2,0,0
2,0,0,0,2,0,2,4,0
2,0,0,0,2,0,0,6,0
6,2,2,0,4,0,0,8,4
10,0,0,0,2,0,2,4,4
2,0,0,0,2,0,0,2,0
2,0,0,0,2,0,0,2,0
2,2,0,0,2,0,4,4,0
0,0,0,0,2,0,0,4,0
0,2,0,0,6,0,2,4,2
0,0,0,0,2,0,0,6,0
0,0,2,0,6,0,0,2,0
2,2,2,0,2,0,0,4,2
0,0,0,0,4,0,0,2,0
0,0,0,0,0,0,0,4,0
0,0,0,0,2,0,0,4,0
0,0,0,0,2,0,0,4,0
4,2,0,0,5,0,0,6,0
4,2,0,0,6,0,0,6,0
8,4,0,0,8,0,0,0,0
12,6,2,0,8,0,4,4,2
4,0,0,0,8,0,0,3,4
6,4,0,0,6,0,2,4,4
2,0,0,0,8,0,2,1,0
2,0,0,0,4,0,2,6,0
0,0,0,0,6,0,0,5,0
0,0,0,0,0,0,0,6,0
0,4,0,0,6,0,0,6,0
2,6,0,4,4,0,0,5,0
0,0,0,0,2,0,2,4,0
0,0,0,0,4,0,0,5,0
0,0,0,0,0,0,0,4,0
2,0,0,0,6,0,0,4,0
8,8,4,0,2,0,0,4,2
6,4,0,0,2,0,0,4,0
12,6,2,0,4,0,2,2,4
6,4,2,0,2,4,2,6,0
2,2,0,2,2,0,2,6,0
2,0,0,0,2,0,0,10,0
2,0,0,0,0,4,2,4,2
2,0,2,0,2,2,6,8,8
4,0,0,0,2,0,0,4,0
0,0,0,0,2,0,0,2,2
2,0,3,0,2,0,0,6,0
4,4,4,0,6,0,0,9,0
0,0,0,0,2,0,0,4,0
0,2,0,0,2,0,0,8,0
4,0,0,0,2,0,8,2,2
10,0,2,0,4,0,4,2,0
2,0,0,0,2,0,4,6,0
4,0,0,0,4,0,4,4,2
4,0,0,0,2,0,0,4,0
0,0,0,0,6,0,6,6,0
0,0,0,0,2,0,2,6,0
0,0,0,0,6,0,4,4,0
10,2,2,0,6,0,6,4,4
2,0,0,0,0,0,0,4,0
2,2,0,0,8,0,2,4,2
4,0,0,0,4,0,2,4,2
0,0,0,0,2,0,2,6,0
2,0,0,0,2,0,0,6,0
2,2,0,0,2,0,0,6,0
2,0,4,0,0,0,0,2,0
0,0,0,0,0,0,0,2,0
4,0,0,0,2,0,0,0,0
14,8,8,0,4,0,0,10,2
10,2,6,0,2,0,0,12,2
0,0,0,0,6,0,0,6,2
2,0,0,0,4,0,0,6,0
2,2,0,0,4,0,0,6,0
0,0,0,2,6,0,0,8,0
2,0,0,0,2,0,0,10,0
4,2,0,0,0,0,0,8,2
6,0,0,0,6,0,0,4,0
2,0,0,0,8,0,2,4,0
2,2,2,0,4,0,4,6,2
0,0,0,0,4,0,4,6,0
2,2,0,0,4,0,4,8,0
0,0,0,0,0,0,0,4,0
4,2,2,0,2,0,0,4,2
0,0,2,2,6,0,2,3,2
2,0,0,0,0,0,0,4,0
0,0,0,0,2,0,0,4,0
2,0,0,0,0,0,0,4,0
0,0,0,0,2,0,0,4,0
0,0,0,0,4,0,2,4,2
6,2,0,0,0,0,0,4,2
0,2,0,0,2,0,2,4,0
4,0,0,0,0,0,2,6,0
6,2,0,0,4,0,0,4,2
0,0,0,0,0,0,2,4,0
2,4,0,0,6,0,2,4,8
2,0,0,0,3,0,4,8,4
4,2,0,0,0,0,2,0,0
2,0,4,0,2,0,4,0,0
2,2,0,0,6,0,2,4,2
0,0,0,2,4,0,0,8,0
2,4,0,0,2,2,2,2,2
0,2,0,0,2,0,0,6,0
6,0,0,0,1,0,0,8,0
6,0,0,0,4,0,5,4,0
0,0,0,0,4,6,0,2,0
0,0,0,0,2,2,0,2,0
10,6,6,0,2,0,2,9,4
4,0,0,0,2,0,0,4,0
6,2,2,0,10,0,0,6,4
4,2,0,0,2,0,0,4,2
0,0,0,0,6,0,0,4,0
0,0,0,0,4,0,0,6,0
0,0,0,0,2,0,0,4,0
0,0,0,0,2,0,0,6,0
4,0,0,0,2,0,0,3,0
6,2,2,0,4,0,6,6,2
14,10,8,2,8,0,0,1,2
8,2,0,0,14,0,4,0,0
6,0,0,0,0,0,0,8,0
4,2,0,0,4,0,0,6,2
6,0,0,0,8,2,0,4,4
10,2,0,0,4,2,2,5,0
0,0,0,0,4,0,4,4,0
0,0,0,0,6,0,2,5,0
0,0,0,0,3,0,0,0,0
0,0,0,0,3,0,0,0,0
4,4,0,0,4,0,0,6,2
4,0,0,0,4,0,0,4,2
0,2,0,0,0,0,0,4,2
2,0,0,0,2,0,2,8,2
4,0,0,0,2,0,0,2,0
0,0,0,0,4,0,0,2,0
2,2,0,0,6,0,0,4,0
2,0,0,0,2,0,0,4,0
0,0,0,0,2,0,2,6,0
0,0,0,0,5,0,4,8,0
0,0,0,0,0,0,2,6,0
0,0,0,0,2,0,0,4,0
0,0,0,0,0,0,2,2,0
0,0,0,0,0,0,2,2,0
2,0,0,0,4,0,2,8,0
0,0,0,0,2,0,2,8,0
2,2,0,0,4,4,0,7,6
0,0,0,0,4,2,0,6,6
8,0,0,0,4,0,0,6,0
6,0,2,0,0,0,0,6,0
2,0,0,0,6,0,0,2,0
2,0,0,0,2,0,0,2,0
0,0,0,0,0,0,6,4,0
0,0,0,0,0,0,4,2,0
2,0,0,0,6,0,0,10,2
6,6,0,0,8,0,0,8,2
4,0,0,0,4,0,0,4,2
4,2,0,0,6,0,0,4,4
4,0,2,0,4,0,10,2,2
4,0,0,0,4,0,8,2,4
10,4,4,0,4,2,6,8,6
8,0,0,0,8,0,14,8,4
2,0,0,0,4,0,0,4,2
0,0,0,0,4,0,0,2,0
0,0,0,0,2,0,0,4,0
6,0,0,0,2,0,0,4,0
0,0,0,0,2,0,2,2,0
0,0,0,0,4,0,2,2,0
4,0,0,0,2,0,2,20,2
4,2,4,0,2,0,0,8,2
0,0,0,0,6,0,0,6,0
0,0,0,0,4,0,4,6,0
2,0,0,0,0,0,2,4,0
2,0,0,0,6,0,4,2,0
0,0,0,0,0,0,0,2,0
2,0,0,0,2,0,0,4,0
4,6,2,0,8,0,0,12,0
6,8,0,0,4,0,0,10,0
6,2,0,0,6,0,2,8,2
4,2,0,0,3,0,2,6,2
8,0,0,0,10,0,0,2,10
6,4,6,2,4,0,0,4,4
10,4,6,0,0,1,8,6,6
10,4,8,0,6,2,0,10,6
4,2,0,0,2,0,2,6,2
4,2,0,0,4,0,0,2,2
0,0,0,0,9,0,0,2,0
0,0,0,0,0,0,0,4,0
0,0,0,0,3,0,2,0,0
0,0,0,0,2,0,0,0,0
0,0,0,0,6,0,0,2,0
0,0,0,0,2,0,0,4,0
0,0,0,0,2,0,2,10,1
0,4,0,0,4,0,0,0,0
2,0,0,0,0,0,4,10,0
2,2,0,0,5,0,0,2,0
10,8,0,0,8,4,0,6,4
2,4,2,0,4,2,0,6,2
4,0,0,0,2,0,0,6,0
4,0,0,0,2,0,0,8,0
0,0,0,0,2,2,2,2,0
4,0,0,0,6,0,0,2,0
6,0,0,0,4,2,2,4,4
6,0,0,0,2,2,2,6,4
6,2,6,4,4,0,2,8,8
4,0,4,0,0,0,0,10,4
0,0,0,0,4,0,6,6,0
0,0,0,0,6,0,2,8,0
4,0,0,0,6,0,2,2,0
0,0,0,0,2,0,0,2,0
4,0,0,0,4,0,0,4,0
4,0,0,0,4,4,0,9,0
2,0,0,0,2,0,0,2,0
0,0,0,0,3,2,0,2,0
12,2,0,0,6,0,2,10,8
10,4,0,0,2,2,0,10,4
0,0,0,0,8,0,0,2,0
4,0,0,0,12,0,4,2,0
2,0,0,0,10,0,2,10,6
6,0,0,0,8,0,6,9,8
12,4,2,0,4,0,0,10,6
10,0,0,0,2,0,2,8,6
8,2,0,0,12,0,0,2,2
2,0,0,0,4,0,0,2,0
8,10,0,0,2,0,0,6,10
0,6,0,0,2,0,0,4,2
12,6,2,0,2,0,0,4,2
6,0,0,0,0,0,0,4,0
6,2,0,0,2,0,0,4,0
8,0,0,0,0,0,0,6,0
4,2,0,0,0,2,8,2,2
0,0,0,0,0,0,4,4,0
2,0,0,0,2,0,10,8,0
0,0,0,0,0,0,0,7,0
4,4,4,0,0,2,2,12,0
4,0,0,0,0,2,2,7,0
6,2,2,0,6,0,4,8,4
8,4,0,0,6,0,4,6,4
0,0,0,0,2,0,2,8,0
0,0,0,0,6,0,0,9,0
4,0,0,0,4,0,0,4,4
2,0,0,0,2,0,0,4,2
4,0,4,0,2,0,0,4,0
8,0,0,0,0,0,0,6,2
22,4,0,0,4,0,2,6,4
14,4,0,0,5,0,0,6,4
0,0,0,0,15,0,2,6,0
0,0,0,0,7,0,0,2,0
0,0,0,0,5,0,0,2,2
6,2,0,0,4,0,0,6,2
2,0,0,0,2,0,0,5,0
0,0,0,0,4,0,2,5,0
0,0,0,0,2,0,2,2,0
0,0,0,0,8,0,5,2,0
6,6,0,0,6,0,0,4,6
14,2,0,0,6,2,0,4,2
0,0,0,0,0,6,0,2,2
0,0,0,0,0,4,0,0,0
0,0,0,0,4,0,0,9,2
2,0,0,0,0,0,0,4,0
8,2,6,0,2,0,4,4,0
8,2,2,0,2,0,0,8,0
0,4,0,0,2,2,2,10,0
2,0,0,0,2,2,0,4,0
0,0,0,0,2,4,4,10,0
2,0,0,0,0,2,0,8,0
0,0,2,0,4,0,0,6,0
0,0,0,0,2,0,0,4,0
6,6,0,0,4,0,4,14,8
4,8,6,0,4,0,2,6,0
0,0,0,0,4,0,0,4,4
0,0,0,0,6,0,0,2,2
0,0,0,0,6,0,0,4,0
2,2,0,4,6,0,0,4,0
0,0,0,0,4,0,0,4,0
0,0,0,0,0,0,0,2,0
4,0,0,0,2,0,0,5,6
4,0,0,0,4,0,2,5,4
2,2,0,0,6,0,0,8,0
2,2,2,0,3,2,2,6,0
0,2,0,0,4,0,2,4,2
2,0,0,0,6,0,2,4,0
2,0,0,0,0,0,0,7,0
0,0,0,0,6,0,0,4,0
4,0,0,0,2,0,0,6,2
4,0,0,0,2,0,0,4,0
4,2,0,0,2,0,2,4,0
4,0,0,0,9,0,0,6,0
6,4,2,6,8,0,0,4,6
8,8,4,0,12,0,0,7,8
2,0,0,0,0,0,2,2,2
0,0,0,0,0,0,0,2,0
4,2,0,2,0,0,2,6,0
6,2,8,0,0,0,0,4,6
8,0,2,0,4,0,2,8,2
4,0,0,0,4,0,0,6,0
8,2,0,0,4,0,0,0,4
4,0,0,0,8,0,0,2,2
0,0,0,0,4,0,0,14,2
0,0,0,0,4,0,0,4,2
2,0,0,0,0,0,0,2,0
4,0,0,0,2,0,0,4,0
4,0,0,0,2,0,4,4,0
4,0,0,0,2,0,2,2,2
4,2,2,0,2,0,0,4,2
4,4,0,0,2,0,0,10,6
4,2,0,0,6,0,2,6,4
6,4,2,0,6,0,2,8,2
2,0,0,2,4,0,0,2,0
2,0,0,0,2,0,0,6,0
2,0,0,0,2,0,0,4,0
2,0,0,0,10,0,0,8,2
2,0,2,2,4,0,0,6,0
4,0,0,0,3,0,0,2,2
0,0,0,0,6,0,10,4,0
0,0,0,0,4,2,4,0,0
0,0,0,0,0,0,0,2,0
0,2,0,0,2,0,0,4,0
2,0,2,0,2,0,0,4,2
2,0,0,0,0,0,0,2,2
0,0,0,0,6,0,2,6,0
2,0,0,0,2,0,0,4,0
8,0,0,0,2,0,0,6,2
2,4,4,0,0,0,0,4,6
0,0,0,0,0,0,0,6,2
8,2,0,0,0,0,4,8,4
0,2,0,0,0,0,0,2,0
0,0,0,0,0,0,0,4,0
2,0,0,0,0,0,0,4,0
0,0,0,0,2,0,0,2,0
0,0,0,0,8,0,0,5,0
0,0,0,0,7,0,0,2,0
0,0,0,0,2,0,4,2,0
0,0,0,0,2,0,0,2,0
0,0,0,0,2,0,0,4,0
2,0,0,0,0,0,2,4,2
2,0,0,0,2,0,0,4,0
0,0,0,0,0,0,0,0,0
4,0,0,0,4,0,0,4,4
4,0,0,0,2,0,0,6,2
2,0,0,0,4,0,0,4,0
2,0,0,0,4,0,2,4,0
0,6,0,2,4,0,0,6,2
2,4,2,2,0,2,0,6,4
6,0,0,0,2,4,6,6,0
0,0,0,0,4,0,0,6,2
6,0,4,0,2,0,2,6,4
6,0,0,2,4,0,0,4,0
2,0,0,0,8,0,0,2,0
0,0,0,0,9,0,2,2,2
0,0,0,0,8,0,0,2,0
0,0,0,0,7,0,0,4,0
4,2,4,0,4,0,0,8,2
4,4,0,0,2,0,0,6,4
0,0,0,0,0,0,2,4,0
2,0,0,0,2,0,0,2,4
4,2,0,0,2,2,2,2,0
4,4,6,0,6,0,2,2,0
2,0,0,0,4,0,2,6,0
0,2,2,0,2,0,0,6,0
2,4,0,0,8,0,2,8,0
4,2,6,0,10,0,0,10,0
2,2,0,0,2,0,4,4,0
0,0,0,0,4,0,2,6,2
0,0,0,0,0,0,0,5,0
0,0,0,0,0,0,0,6,2
4,0,0,0,0,0,4,5,2
6,0,0,0,0,0,2,6,4
4,0,0,0,2,0,0,4,0
2,0,0,0,4,0,0,2,0
4,0,0,0,1,0,0,4,2
4,0,0,0,2,0,0,0,0
6,6,2,2,0,0,0,12,6
8,8,0,0,2,0,0,14,6
6,0,0,0,2,0,0,6,4
4,0,0,2,2,0,0,4,2
0,0,0,0,3,0,0,4,0
0,0,0,0,5,0,0,4,0
8,4,2,0,2,0,0,2,4
4,2,0,0,0,0,0,2,2
2,0,0,0,0,0,0,4,0
2,0,0,0,0,0,2,6,0
0,2,0,0,2,0,4,2,0
0,0,0,0,4,0,2,2,2
2,0,0,2,4,0,0,4,0
0,0,0,0,2,0,0,6,4
4,4,0,2,4,0,0,2,2
8,0,0,0,8,0,0,4,2
0,0,0,0,4,0,0,0,2
0,0,0,0,4,0,0,4,2
8,2,2,2,10,0,0,8,6
8,4,2,2,4,0,0,10,2
4,0,2,0,4,0,2,0,0
2,0,0,0,4,0,2,0,0
4,0,0,0,6,0,0,4,2
0,0,0,0,8,0,2,4,2
2,0,0,0,4,0,0,8,4
12,6,0,0,6,0,0,6,4
2,0,0,0,4,0,0,6,0
2,2,0,0,2,0,0,6,0
2,0,0,0,8,0,6,6,0
2,0,0,0,0,0,4,4,0
2,0,0,0,2,0,0,4,2
2,2,0,2,8,0,0,4,2
14,4,0,2,6,0,4,2,2
8,2,2,0,6,0,4,4,4
8,0,0,0,6,0,0,8,6
12,0,0,0,12,0,0,8,6
6,10,2,0,4,0,0,12,4
2,4,4,2,4,0,0,8,0
2,0,2,0,4,0,0,6,2
4,2,0,0,6,0,2,4,2
0,0,2,2,6,0,0,8,2
2,2,2,0,8,0,0,6,2
2,2,0,0,6,0,0,4,0
0,0,0,0,6,0,0,10,0
0,0,0,0,4,0,0,6,0
0,0,0,0,8,0,0,4,0
0,2,0,0,6,0,0,4,0
0,2,0,0,4,0,2,8,0
12,2,4,0,6,0,0,6,6
6,6,4,2,8,0,0,4,6
0,0,0,0,8,0,0,8,0
0,0,0,0,10,0,0,6,0
0,0,0,0,5,0,0,4,0
0,0,0,0,0,2,0,6,0
0,0,0,0,2,0,2,2,0
0,0,0,0,0,0,0,0,0
6,0,0,0,4,0,0,0,2
0,0,0,0,0,0,0,0,0
8,2,4,0,4,0,0,4,2
4,2,0,2,4,0,0,2,2
0,0,0,0,3,0,0,2,0
0,0,0,0,3,0,0,6,0
4,2,0,0,6,0,4,2,4
4,4,0,0,6,0,1,2,4
0,0,0,0,2,0,0,4,0
0,0,0,0,2,0,4,0,0
6,2,0,0,6,0,0,2,0
4,2,0,2,4,0,0,2,4
0,0,0,0,3,0,2,0,0
0,0,0,0,1,0,2,2,0
0,0,0,0,4,4,0,6,0
2,2,0,0,10,2,0,4,0
0,0,0,0,6,2,0,4,2
2,2,0,0,6,6,0,4,4
2,0,0,2,2,0,0,2,4
2,0,0,0,4,0,0,2,6
8,4,0,0,18,0,8,8,0
6,4,0,0,6,0,6,6,0
2,0,0,0,6,0,4,4,0
0,2,0,0,6,0,6,3,2
6,0,2,2,4,0,2,6,0
8,0,0,0,4,0,0,6,2
0,0,0,2,2,2,4,6,2
2,0,0,0,2,0,0,2,0
0,0,0,0,4,0,2,6,2
0,0,0,0,0,0,0,6,0
2,0,0,2,0,0,2,8,2
0,0,0,0,2,0,0,10,0
2,0,0,0,12,0,0,4,0
0,0,0,0,4,0,0,2,0
0,0,0,0,2,0,0,4,0
2,0,0,2,2,0,0,4,0
8,2,4,0,2,0,4,4,4
4,0,0,0,2,0,0,2,0
0,0,0,0,2,0,2,4,4
0,0,0,0,2,0,0,4,0
6,2,2,0,2,0,4,2,2
2,4,2,0,0,0,8,4,2
2,0,0,0,6,0,0,10,0
0,0,0,0,2,0,0,6,0
4,4,4,0,6,0,0,2,2
4,2,0,0,2,0,0,8,4
4,2,0,0,0,0,0,3,0
0,0,0,0,2,0,0,6,0
0,0,0,0,0,0,0,5,0
0,4,2,0,2,0,2,6,0
2,0,0,0,0,0,2,4,0
0,2,0,0,4,0,0,8,2
2,0,0,0,4,0,0,2,0
2,0,0,0,7,0,2,4,0
2,0,0,0,0,0,0,6,0
2,0,0,0,5,0,0,6,2
2,2,0,0,6,0,0,2,2
0,0,0,0,0,0,0,8,2
2,2,0,0,6,0,0,2,2
0,2,0,0,0,0,0,8,2
10,2,0,0,10,0,2,6,4
6,0,0,0,12,0,2,4,0
0,0,0,0,4,0,0,2,0
4,2,0,0,4,2,2,6,0
4,0,0,0,2,0,0,10,2
6,2,4,0,2,0,0,8,4
10,2,6,0,3,0,0,4,2
10,0,0,0,5,0,0,8,2
4,4,0,0,6,0,0,2,0
0,0,0,0,5,4,0,2,0
0,0,0,0,6,0,2,6,0
4,2,2,0,5,0,2,6,2
2,0,2,0,4,2,0,4,2
2,0,0,0,2,0,0,4,6
6,4,0,0,6,0,6,10,4
4,4,0,0,4,0,2,10,8
6,2,0,2,10,0,2,12,0
0,0,0,0,6,0,0,2,0
0,0,0,0,6,0,0,6,0
2,2,0,0,7,0,0,4,0
6,2,0,0,10,0,0,4,4
4,4,0,0,8,0,0,6,2
0,0,0,0,2,0,0,8,0
2,4,0,0,2,0,0,2,0
2,2,0,0,6,0,0,4,2
4,4,4,0,10,0,0,2,0
4,2,0,0,8,0,0,6,2
4,2,4,0,14,0,0,8,2
2,2,0,0,2,2,0,4,2
4,0,4,2,4,8,0,6,2
2,2,0,0,3,0,0,0,0
2,0,0,0,3,0,0,2,0
0,0,0,0,1,0,0,2,0
0,0,0,0,1,0,0,2,0
2,0,0,0,1,0,0,2,0
2,0,0,0,3,0,0,2,0
8,0,0,0,8,2,0,10,4
8,0,0,0,4,2,0,4,0
2,0,0,2,4,0,0,8,4
2,0,0,0,2,0,0,6,4
0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,4,0
2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4,0
0,0,0,0,5,0,0,2,0
4,2,0,0,8,0,0,2,0
8,0,4,0,5,0,2,4,2
6,0,0,0,2,0,0,6,0
2,0,0,0,0,0,0,6,0
0,0,0,0,4,0,0,6,0
0,0,0,0,0,0,0,7,0
0,0,0,0,0,0,0,2,0
